"rating","fullContent"
3,"Se destaca:
La ubicacion, a tan solo 10 minutos a pie de la plaza prinicpal, y sobre una avenida bien conservada, decorada y limpia.
Las habitaciones, son amplias y comodas, los colchones y almohadas limpias, estan bien ventildas y carecen de aire acondicionado.
El desayuno esta acorde a la categoria del hotel, consistente en huevos revuelto, pan, biscochos, cafe, yogurt, leche, y frutas.

Lo malo:
La limpieza no es de lo mejor, tal vez por que el hotel estaba a capacidad completa, la ducha con constante problemas con el agua caliente, teniendo que pedir que lo solucionaran en forma constante.
En todo el hotel hay 2 secadores de pelo, debiendo solicitarlo, usarlo y debolverlo en recepcion.
En la habitacion no tenia ni plancha, ni frigobar.
En la pagina del hotel dice que hay piscina exterior e interior, pero para eso deben ir hasta el otro hotel, el cual queda como a 30 minutos de viaje.
La wifi es gratuita pero se corta frecuentemente."
2,"A pesar que la ubicación es muy buena y las habitaciones son limpias y amplias, no regresaría por la atención de la señora de recepción. No responde de buena manera en ningún momento y todo el tiempo parece molesta. Uno de los aspectos más importantes en un hotel es la atención al cliente y en el caso del Hotel Regina es lamentable."
3,"Si bien la ubicacion de este hotel te permite estar en 10 minutos a pie en el centro, el hotel como tal me dejo con un sabor a poco, al llegar me indicaron que el servicio de planchado solo era en las mañanas a partir de las 7:00 pero al llamar al otro día me indicaron que es a partir de las 8:00, el frigobar estaba vacio, en la tarde no hay agua caliente por lo que una ducha se convierte en una gelida experiencia, el desayuno bueno en sabor pero muy poco en variedad y atencion del personal, sin embargo, se nota la renovacion del hotel, los pisos, paredes y demás son nuevos y de buen gusto, solo les pediria un poco más de atencion a los detalles que quierase o no son muy importantes para los viajeros frecuentes."
3,"El Hotel Regina está muy bien ubicado para un viaje de trabajo es muy recomendado ya que es de muy fácil accesibilidad y además tiene parqueo, lo que si cabe recalcar es que si no te toca las habitaciones nuevas del piso más alto, las habitaciones antiguas ya merecen un remodelado tanto en mobiliario como el equipamiento de los baños"
4,"El hotel tiene una excelente ubicacion en la ciudad de Cochabamba. En cuanto a sus facilidades, las habitaciones amplias y muy comodas. Se necesita reformar sus baños, son muy anticuados. El desayuno muy bueno, variado y abundante. El personal es amable y responde a las inquietudes de los huespedes. Otra gran ventaja del hotel es que dispone de parking, el cual es grande y de facil maniobrabilidad. Muy recomendable."
4,"Tiene buena ubicación, la atención es buena, el desayuno limitado pero es aceptable. La zona por la noche es tranquila. Yo tuve que viajar por trabajo y me pareció una buena opción, no lo había contratado yo sino la empresa."
3,"Es un buen lugar para pasar un par de noches, pero les falta mejorar sus habitaciones.
Su ubicación es excelente y realmente es una ventaja.
Su desayuno es bueno aunque si te atrasas en la hora, encontrarás poco."
3,"Un hotel con la ubicacion ideal en la mejor zona de la ciudad, ademas de un garaje amplio, un desayuno excelente, un restaurante de buena calidad, asi que repeti la visita por 2da vez junto a mi familia, pero,,,,,,,,,,,,, sorpresa nos dieron otra habitacion triple, solicitamos la anterior y no nos tiraron bola, lamentablemente esta no tenia las caracteristicas de la anterior, era pequeña, incomoda, el baño sin ninguna ventilacion (ni natural ni mecanica), se notaba que tuvo mejores tiempos y que mantenimiento paso muy rapidamente, el baño con piezas de ceramica rotas, las puerta que se deben jalar y hacen un ruido fuerte al cerrar, una filtracion de agua en el baño, no cambiaron las fundas de almohada, la Tv. barata y de mala calidad, es decir la otra cara del hotel. Del personal ....los botones muy amables y alegres, pero ,,,,,,,las recepcionistas con mucho que desear, pareceria que se les molesta cuando uno les habla especialmente una de ellas, creo que es un lugar con mucho que dar pero que por ciertos detalles pierde su encanto,no se si volveria nuevamente"
4,"Es un hotel céntrico, en pleno prado de Cochabamba. Limpio, con un muy buen servicio, en todos su empleados, sean de atención al huesped como el servicio de mucamas y las que atendían el servicio al cuarto y el desayuno.
El desayuno tipo americano, muy completo, que muchas veces se puede considerar superior a los que he consumido en Hoteles 5 estrellas, a los pocos días. Habitaciones grandes y cómodas. Si bien el baño es completo, para personas de tamaño superior al normal es un poco estrecho. El servicio de taxi, es excelente, siempre tienen taxis disponibles en la puerta, y son muy amables con el mismo precio que aquellos que uno aborda en las calles."
5,"Muy bien ubicado tiene todo para pasar una temporada agradable en Cochabamba y tiene un desayuno espectacular. En las habitaciones superiores y una vista envidiable. El trato del personal del Hotel es excelente."
3,"Las habitaciones son agradables y limpias, pero he tenido un inconveniente con la comida, he pedido una ensalada cesar con pollo y tenía insectos, al parecer la lechuga no estaba bien lavada, es una lástima que el restaurante no sea un complemento positivo para este lugar"
4,"Solo puedo hablar bien de los Bongaloos del Regina ya que es lo que más sobresale dentro de sus servicios, son departamentos familiares completamente equipados y amoblados con habitaciones hasta para 10 personas que incluyen una piscina atemperada y parrillero. Son excelentes para escaparse un fin de semana con la familia o hacer una súper fiesta con los amigos! Además igual puedes utilizar las otras piscinas del hotel e incluye el desayuno buffet del hotel que aunque no es tan surtido es mejor que nada supongo. "
4,"Estuvimos muchas veces hospedados en este hotel y las habitaciones muy lindas,iluminadas y amplias, pasamos muy buenos momentos, disfrutamos mucho los desayunos con "" masitas"" dulces y saladas, mi ultima visita note que los precios estaban muy elevados y ya no es tan bueno como antes."
1,"El trato del personal de recepción pésimo. Aparentemente el hotel no ha invertido en capacitarles y hacerles entender que todos los huéspedes merecen el mismo trato.
Fui testigo de trato discriminatorio entre huéspedes extranjeros y nacionales, a unos los tratan bien y a otros como si no merecieran alojarse en el hotel.
El hotel en general es viejo y necesita mantenimiento. El desayuno es regular.
Como mucho, el hotel pasa como uno de 3 estrellas."
1,"Horrible experiencia en el Hotel Regina del Prado en Cochabamba, un trato muy malo, habitaciones viejas, descuidadas, sin aire, sin frigobar, ni las lámparas funcionan, no veo el porqué llamarle Hotel, esto es un Hostal con suerte."
5,"El Hotel Regina fue una muy buena decisión al momento de elegir un hotel limpio y céntrico, su desayuno completo y abundante, sus camas cómodas, La Opción del Apart hotel a la vuelta fue acertada, porque teníamos la privacidad de un living, cocina y comedor exclusivos y no había gran diferencia en precios. Su atención discreta y paciente con algunas exigencias del grupo de trabajo."
4,"Es un hotel muy céntrico muy buen ubicado tiene habitaciones amplias con una linda vista de la ciudad, limpias, muy confortables y sobre todo con muy buenos precios, tiene desayuno buffet, servicio de internet, agua caliente, una buena área de gastronomía y en general muy buena atención."
3,"Es un buen lugar para hospedarse, las habitaciones son muy grandes y cómodas, el único problema es que no tienen aire acondicionado en las habitaciones y tampoco cuentan con la opción de poner ventiladores y en las noches se hace necesario."
1,"El peor hotel en el que nos hemos hospedado, habían cabellos en las sábanas y preservativos bajo la cama, cuando pedimos cambio de habitación la siguiente estaba igual de sucia, la tercera también, estamos en proceso de demandar al hotel.
Lo peor es que la gerente después quiso arreglar el desastre invitándonos a un almuerzo en otro hotel del grupo.
Ni se les ocurra reservar en este sitio."
4,"He estado varias veces alojado en el Regina. Es un hotel muy bien ubicado, cerca de ""El Prado"", y las habitaciones son excepcionalmente amplias y cómodas. Creo que es el lugar que elegiré siempre que deba quedarme en un hotel en esta ciudad."
2,"estuve por viaje de trabajo, justo me tocaron unos dias calurosos y las habitaciones no tienen aire acondicionado, la alfombra huele mal, los televisores son viejos y los controles no funcionan muy bien, el costo del hotel fue de 35 usd aproximadamente"
3,"Bien ubicado, cerca de calle El Prado.
Las instalaciones si necesitan un poco de mantenimiento, pero en general la experiencia de hospedaje es aceptable.
No tiene aire acondicionado en las habitaciones, ya que normalmente la ciudad de Cochabamba es fría, pero en ciertas épocas del año si existe un poco de calor y podría ser un poco incómodo.
Si hay wifi
Incluye desayuno bufete, pequeña selección, pero suficiente para desayuno básico.
Muy fácil conseguir un taxi en recepción. Tiene garaje para vehículos de huéspedes.
No se debe confundir el Hotel Regina (junto al hotel Diplomat, al que hace referencia esta opinión) con el ApartHotel Regina (a la vuelta de la cuadra del Hotel Regina), es del mismo grupo hotelero pero las instalaciones son muy distintas.
Personal amable, a pesar que no tenían disponiblidad de habitación sencilla, me hospedaron en habitación doble por el mismo precio de simple."
5,"Buena atención, los apartamentos son cómodo, e ideal para ir con la familia, cuenta con servicio a la habitación, desayunos buffet, wifi, agua caliente y fría, televisión con cable en cuartos y sala, se los recomiendo."
3,"hotel antiguo, centrico. le falta mucho hacerle mantenimiento.renovar las toallas de baño. la atención es muy buena, el desayuno buffet es bueno, pero pondría mas pan fresco. El lado positivo es que acepta mascotas."
3,"es un lugar centrico, se pueden encontrar muchos lugares al rededor... Esta cerca de todo, para ir por trabajo es perfecto. LA comida es normal, no va a lo extraordinario. El servicio es bueno. Las habitaciones tienen un buen tamaño, un lugar acogedor."
4,"Es un Apart Hotel centrico , para trabajo perfecto. Algunas habitaciones sus camas son malas se estan rompiendo de viejas, pero en otras son nuevas. El desayuno es normal basico. La atencion de todo el personal es muy buena. Los felicito por su educacion. Lo recomiendo ya que el precio esta acorde a lo que ofrecen. "
3,"Hotel céntrico, en el Prado, el restaurante está bastante bien y el buffet del desayuno también, hay bastante surtido europeo, además dispones de wifi en todo el hotel y ordenador por si lo necesitaras, el precio no lo se pues estaba invitado, en definitiva, creo que volvería. "
5,"Adicional al tema de que esta muy cerca de todo, la manera en que te tratan como cliente es muy buena.
Esta cerca del palacio del silpancho y del prado cochabambino. y es por su disposicion seguro y muy cerca de todo.
Adicional a que tiene un desayuno muy bueno."
4,"El hotel fue muy comodo, limpio y con una excelente atencion.
En las ocaciones que me quede ahi ha tenido uno de los precios mas coherentes, dado que hostales malisimos querian cobrarnos lo mismo. Me encanto el desayuno. Aunque hace una semana intente volver a ir y me informaron que los precios casi se habian duplicado"
4,"Bonito hotel, wi fi, un desayuno buffet convencional y buena atención, las camas un poco rechinantes pero nada de que quejarse, me agrado el esmero en la limpieza de las habitaciones. Lastimosamente el almuerzo no termino de convencerme y la gastronomía del lugar no es de las mejores. Sin embargo volvería ya que sus precios oscilan por debajo del estándar para un hotel de esta calidad"
3,"En las ultimas visitas al hotel, se apreció un cambio sustancial en el trato y actitud del personal, muy solícito y atento. Las habitaciones son sencillas y cómodas, algunas cuentan con una pequeña cocina y frigobar. El hotel se encuentra ubicado en pleno centro de la ciudad con acceso a comercios y a la banca."
4,"Nada extraordinario, no esperen lujo total, pantallas gigantes, ni nada por el estilo, es un hotel 3 estrellas bien montado, los cuartos tienen ciertas columnas extrañas, pero nada que incomode realmente, son de buen tamaño, buena limpieza, agua caliente, wifi, tv cable, buen desayuno bufe, todo lo usual correcto y las áreas comunes como el lobby y comedores aunque pequeños están muy bien decorados, aparentan 4 estrellas mejor de lo que uno esperaría.
Si uno va a viajar constantemente hay la posibilidad de inscribirse a su plan de tarifa corporativa con lo cual el precio es muy, muy conveniente, sin pretensiones, para el precio... recomendado!"
3,"Me hospedé aqui por sugerencia de un compañero de trabajo pero no tenía mayores expectativas, sin embargo me di con la sorpresa de que era un hotel sencillo pero limpio, cómodo y con un personal amable. Ademas el precio me parece bastante razonable y está cerca de cafés, restaurantes y farmacias. Tomé dos tipos de habitación y ambas fueron comodas, quizas no estan decoradas a mi gusto y algunas son un poco oscuras pero como uno pasa poco tiempo en la habitacion pues puedes superar esto. El desayuno buffete es bastante sencillo (no es abundante) pero no es malo. La atencion en recepcion no es excepcional pero las señoritas son amables, me cambiaban dinero en todo momento y atendían atentamente a mis solicitudes o preguntas. Algunos mozos que son a la vez botones, son bastente amables y alegres. Eso si, no me gustó mucho la comida cuando me toco pedir de cenar, la conexión a internet fallaba constantemente y el ascensor o elevador también. Ojo, tanto a mi como a otros turistas nos fue confuso ubicar el hotel porque hay tres hoteles reginas, asi que tomar en cuanta la dirección exacta."
2,"El trato del personal de recepcion es inapropiado y despotico, el huesped es considerado por defecto un estafador, a quien se puede interpelar a gritos desde el mostrador cuando uno esta entrando o saliendo del hotel, como si no hubiese telefono u otro medio .

El mobiliario esta muy desgastado y la bateria de baño rota y sin mantenimiento"
4,"La ubicación del hotel es ideal. Estuvimos en un apartamento muy comodo, con una vista a los cerros hermosa. La atención muy buena. Tiene internet un poco lenta en las computadoras pero con wifi en las habitaciones. Cerca de restaurants, heladerias y bajando por calle españa varios pubs con musica muy buenos."
4,"Estuve alojado 4 dias y mi experiencia en este me dejo muy conforme
Wifi gratis y de muy buena calidad, todos sus funcionarios muy agradables,desayuno continental, buena ubicacion, recomendable."
1,"Me he alojado en un viaje de negocios durante una noche en este apart hotel. En primer lugar las habitaciones y el establecimiento son muy diferentes de las fotos que se indican en el website del hotel, lo cual induce al engaño.
Llegué al mismo por la noche procedente de Santa Cruz y luego de un breve viaje en taxi desde el aeropuerto (no mas de 10 minutos). El hotel se encuentra bien ubicado en la zona centrica de Cochabamba. Ya el exterior del hotel causa una impresion poco grata.
Luego de realizar el check in, que fue agil, me dirijo a la habitacion la cual corresponderia a un hotel 2 estrellas en lugar de 4, como se publicita el hotel.
En los pasillos del 3 piso se encontraban tiradas frazadas y almohadas dejadas fuera de varias habitaciones por los huespedes o el servicio de limpieza.
La habitacion dentro son en extremo simples, con manchas y signos de suciedad en la ropa de cama. Los cuartos se encuentran pesimamente aislados en materia de ruido por lo tanto se escuchan ruidos del piso superior como asi tambien todos los ruidos que se generan en el pasillo.
Comparado con otros hoteles de la ciudad la relacion precio-calidad es muy mala y sugiero eviten alojarse en el mismo."
5,"Un hotel acorde a las necesidades de cualquier huésped. Me gustaron mucho las habitaciones, las camas muy cómodas y los otros espacios como el sauna para poder descansar un momento... su ubicacion permite tener alcance a muchas facilidades en la ciudad. ademas el desayuno muy completo para variar todos los días. Gracias!"
1,"No hubo servicio de lavandería cuando lo solicité, en el desayuno no había lugar para tomar asiento, tampoco podían reponer la comida con rapidez y no habían platos para servir, el mobiliario y los baños son muy antiguos, necesitan una reposición de muebles, remodelar sus baños y decorado."
2,"EL Hotel esta muy pasado de moda en cuanto a la decoración y los servicios. La zona es centrica, cosa bueno de día pero después de las 18 hs se vacia y no hay muchos lugares cerca para comer. La zona no es la mejor . "
4,"muy buen ambiente, comodo y esplendido para un buen descanso despues de mucho viajar, recomiendo este lugar a todos por que esta en una ubicacion centrica y accesible, los costos son muy buenos y la atencion buena!"
4,"Visite la Feria Internacional de Cochabamba y me hospede en este Hotel, las habitaciones son bastantes cómodas, cuentan con WIFi en la habitación que es bastante decente considerando que debía enviar informes a diario. El restaurante es muy bueno, comida casera y porciones abundantes a precios adecuados."
3,"Muy antiguo y mal mantenido, las habitaciones son viejas y el mobiliario mal mantenido, el desayuno es bastante pobre, esta muy cerca del centro por lo que puede ser util para los que necesitan moverse por esa zona, tiene servicio de internet muy regular, no lo recomiendo"
4,"es un hotel antiguo pero buen hotel esta ubicado en la Av. 25 de Mayo con Bolívar, atención muy buena, el desayuno es bueno, lo mejor la atención, lo único que no me gusto fue que ofrecieron un coctel o bebida de bienvenida y nunca pero nuca la dieron de resto es buen hotel lo recomiendo muy tranquilo y es muy bueno el servicio habitaciones muy limpias y aseadas"
1,"Ademas de ser viejo y feo, es el primer hotel en mi vida que me piden que me vaya del restaurant porque cierra....a las 22hs! El aire....tristísimo, un ascensor no funciona, el personal es muy joven y no sabe tratar a los huespedes....resumen, no vengan!"
2,"Es un hotel antiguo , las habitaciones bastante sucias , el baño tambien,, el desayuno esa en bandejas que a su vez estan apoyados sobre ladrillos hueco. siempre pidan descuento por que si no te cobran de mas.. el ruido de la calle es infernal y hacen fiestas en los pisos de arriba y te dicen disculpe en un rato termina ... no lo recomiendo
aahh el wifi siempre funciona mal"
2,"Hotel viejo ,Internet malisimooooo ,desayuno tal vez de lo más malo que he visto,la atención en el restaurante pésima ,lo mejor ella gente de recepción y los botones .,ahora,es lo que uno puede esperar por la tarifa,lo malo es que no deben ofrecer lo que no pueden cumplir "
4,"Buena atención en especial del personal de limpieza, habitaciones con buena vista donde pueden observar gran parte de la ciudad, ubicación ideal para movilizarse a cualquier punto de la ciudad, una buena opción para quedarse si visitan Cochabamba "
5,"Es excelente la atención, el personal es amable y atento, el hotel se encuentra en buenas condiciones de mantenimiento, y la ubicación es excelente ya que se encuentra en pleno centro de la ciudad de Cochabamba. "
5,"Un hotel señorial. Con una exquisita y delicada atencion. El restaurant, el desayuno y las habitaciones son buenísimos! Recibimos el mejor servicio de nuestra travesía por Perú y diversos estados de Bolivia. Recomendable 100%"
5,"Lo mejor de Cochabamba, ubicado en el centro de la cuidad, importante punto de partida para realizar cualquier tipo de actividad, el personal es muy preocupado por todo el servicio que es ofrecido alli, Muy recomendable."
3,"Es un hotel clásico. Tiene habitaciones con buen acceso a wifi. Está en el centro y cercano a puntos turísticos, se puede ir caminando al mercado de La Cancha o al telesférico.Está cercano a la plaza central, los alrededores son ruidosos pero típicos para quien quiere vivir la vida de las grandes ciudades de Bolivia. Recomendable."
3,"Esta muy bien ubicado, el servicio es muy atento aunque todo el mobiliario esta muy anticuado, tanto las habitaciones como el restaurante. Me consiguieron un taxista muy bueno y de confianza para realizar reuniones durante el día."
5,"La arquitectura es muy linda con un aire colonial, las habitacionés muy cómodas y tienen un excelente personal, siempre atento. El desayuno es muy variado y te preparan huevos u otros pedidos sin recargos. Está muy bien ubicado, en una zona donde hay restaurantes y pubs. Volveré."
5,"El Aranjuez tiene una arquitectura colonial que te hace sentir en la intimidad Cochabambina
Los servicios son muy buenos y su personal es súper amable
El desayuno no es de lo mejor pero está bien igual "
5,"Estilo colonial, las habitaciones están un poco desactualizadas, pero el jardín y la piscina son muy lindas, una de las mejores opciones para quedarse en Cochabamba. Esta ubicada muy cerca al museo de Simon Patiño."
5,"Elegido por compañia que me llevo a cochabamba. Barrio residendial. A pie de buenos restaurant del boulevard. Precioso arbol al ingreso. Antigua residencial de 30 habitaciones muy bien mantenidas. Lindas areas verdes. Desayuno normal para hotel 4 estrellas. Agradable piscina. Buena habitacion. Wifi. Caja fuerte."
4,"El hotel se encuentra casi al frente de la casa y museo del famoso barón del estaño de Bolivia, Simón I. Patiño, en una zona muy bonita y tranquila de Cochabamba que está cerca a supermercados, restaurantes de comida y transporte.
El hotel es tipo colonial y tiene unos jardines y balcones hermosos, donde se puede disfrutar de la naturaleza y tomarse fotos muy originales. Las habitaciones son cómodas y limpias. El desayuno es aceptable.
Tiene una piscina en el jardín, la cual no es caliente pero se puede pasar lindos momentos con la familia, además el personal pone música ambiente y prepara la piscina para los huespedes, tambien te ofrecen comida y bebida a precios accesibles.
Personalmente yo volvería."
5,"No es un 5 estrellas ni nada parecido. Es de estilo colonial, muy cuidado salvo sectores donde los pisos ya piden los cambien. Está muy bien ubicado y su gente es de maravillas, atentos a cada pedido. El desayuno no brilla pero resuelve. Ojalá me toque volver a Cochabamba y seguro me alojaré allí. Gracias a todos"
5,"Visitamos este lugar con dos amigos como parte de nuestro viaje por Bolivia antes de ir a Perú, debo decir que fue lo mejor de nuestro viaje. Al llegar tuvimos problemas al hacer el check in pues al parecer había confusión con nuestra reserva y no se encontraba en sistema, lo que hizo la diferencia en este caso es que el personal transformó esta situación en algo bueno. Nos dieron una mejor habitación sin cargarnos de más y todos se portaron muy bien con nosotros. Nos encantó cada detalle porque no se notaba para nada forzado y todos fueron muy serviciales. Saludos a Erick y Ricardo por todas sus atenciones y en general a todos. Nos llevamos esta partecita de Bolivia en el corazón."
5,"El hotel tiene una excelente ubicación, nos quedamos un par de noches y disfrutamos cada instante en las áreas verdes del hotel, además de un delicioso almuerzo en el patio (les recomiendo el Lomo), su piscina es pequeña pero deliciosamente atemperada.
La atención es impecable y el servicio en general muy bueno. Definitivamente recomendable!"
4,"Se trata de un hotel de tipo colonial en la bella ciudad de Cochabamba.
Las habitaciones son un poco antiguas, en algun caso mejorables, el suelo de madera en algunas ocasiones es un poco molesto, pero en general, forma parte del encanto de este tipo de hoteles.
La carta del restaurante es amplia, y la comida excelente.
La zona donde está ubicado el hotel es muy tranquila, residencial, a 5-10 minutos caminando del centro de la ciudad.
El hotel tiene una terraza del tipo patio español, con encanto, donde relajarse y tomar algo.
El personal es muy agradable y atento."
4,"Es una de las ciudades con eterna primavera,clima templada 18° media 12 meses, buenos Hoteles como el Gran Hotel Cochabamba, El Aranjuez, y muchos mas,vale la pena conocer esta ciudad, ademas no esta lejos de las ruinas mas importantes del Tawuantinsuyu, INKA LLAJTA, un punto muy importante en la epoca del Inkanato,Att, J.R."
4,"Estuve en el Hotel unos dias en mi paso por Cochabamba, me alojé por cercanía a las personas que fui a visitar. El Hotel tiene un estilo muy clásico con salones acabados en madera, pinturas y detalles en la decoración que recuerdan los hoteles de antes. El interior cuenta con jardines y zonas interiores con intensa vegetación. Se encuentra en una zona muy céntrica de la ciudad y es muy recomendable."
4,"4 estrellas.ciudad de cochabamba. A 2400 aprx metros de altura. Ubicado bastante central. De 3 pisos. Piscina temperada. Habitaciones grandes. Precioso. Estilo colonial. Bastante arboleda externa e interna.."
4,"Excelente hotel, las habitaciones son cálidas y confortables, lindos jardines rodean el hotel y el desayuno es sabroso, aunque no formidable. La ubicación del hotel es muy buena y el personal es muy amable (botones, camarera y personal encargado de desayuno)... excepto por el rubio de la recepción, que estaba malhumorado y se mostró torpe cuando reclamamos que nos dieron una habitación diferente y mas cara de la que reservamos en booking (para k reservar en booking entonces si al final el hotel te asigna la habitación que le da la gana?)"
4,"Encontramos un acogedor lugar en el Hotel Aranjuez, gracias a la gentileza y cordialidad de todo el personal, quienes hacen posible una tranquila y grata estadía, en medio de jardines y amplios salones de una antigua hacienda, enclavada en el sector comercial y culinario de la bella Cochabamba, en las inmediaciones de la Av. America, la Recoleta y el Museo Portales."
5,"Muy bien ubicado a pasos de lugares históricos y restaurantes buenos, el hotel mismo es una mansión histórica. La decoración de las habitaciones y los salones es sobria y elegante. Los jardines son muy agradables, hay muchos espacios para sentarse a descansar, tomar alguna bebida, o para leer, inclusive para una conversación de negocios. Hay música de ambiente perfectamente seleccionada para ir acorde con la actividad del día, música instrumental muy suave y agradable, elemento distintivo del lugar. Excelente desayuno! el personal de cocina atiende hasta peticiones especiales del huésped. Lo mejor de todo el servicio que es realmente destacado. Felicitaciones porque brindan una experiencia única."
3,"Estuve alojada con un grupo de 14 amigos por las festividades de la Virgencita de Urkupiña. La ubicacion del hotel muy buena .La gente de la recepción y botones muy buen trato, muy amables en todo. Las habitaciones lindas, cómodas pero sin calefacción. Las primeras noches muy frías necesitamos estufas o caloventores y ya no tenían por que estaban todas ocupadas. Los jardines del hotel una belleza. A la hora del desayuno lo más flojo. No tenían jamón y queso, había que pedirle al mozo y en dos oportunidades directamente no había. Una mañana tampoco tenían edulcorante. Y la atención dejaba mucho que desear. "
5,"Excelente hotel, la atención muy buena y muy amable, las habitaciones siempre bien aseadas y limpias. El decorado muy agradable y la zona de parques y jardines muy vistosa. El desayuno estuvo bueno.
En mi próxima visita a Cochabamba será la primera opción para hospedarme
Muy buena relación Calidad / Precio"
4,"El hotel está muy bien ubicado, a unos pasos del Palacio Portales y de buenos restaurantes. En general todo el personal muy atentos, te reconocen y saludan por tu nombre, excelente.
El desayuno está incluído, aunque no marca diferencia de los mismos que ofrecen en los hoteles que estuvimos en Bolivia, de regular a bueno a secas.
La habitación que nos asignaron estaba bien a secas. Amplia pero un poco tal vez anticuada. La T.V. Funciona pero vieja y colocada muy abajo, aunque para lo que se mira es poco rato, pero no va en relación al costo de la habitación, al igual que la cama ya muy blanda, las toallas muy usadas.
Lo mejor del hotel su personal y después su ubicación. Las habitaciones necesitan mejorar de acuerdo a la calidad y precio del hotel.
Si me volvería a hospedar en este hotel"
